2026-06-30 19:26:45,798 | dataflows            | WARNING  | data_source_manager:_check_available_sources:492 | ⚠️ [数据源配置] 从数据库读取失败: No module named 'motor'，将检查所有已安装的数据源
2026-06-30 19:26:45,907 | agents               | WARNING  | mongodb_cache_adapter:_init_mongodb_connection:41 | ⚠️ MongoDB客户端不可用，回退到传统模式
2026-06-30 19:26:45,908 | dataflows            | WARNING  | data_source_manager:_check_available_sources:505 | ⚠️ MongoDB数据源不可用: 数据库未连接
2026-06-30 19:26:45,909 | dataflows            | WARNING  | data_source_manager:_get_datasource_configs_from_db:584 | ⚠️ 从数据库读取数据源配置失败: No module named 'motor'
2026-06-30 19:26:47,565 | dataflows            | WARNING  | data_source_manager:get_stock_info:1537 | ⚠️ [数据来源: DataSourceCode.MONGODB] 不支持股票信息获取，尝试降级: 002281
2026-06-30 19:26:47,566 | dataflows            | ERROR    | data_source_manager:_try_fallback_stock_info:1607 | 🔄 DataSourceCode.MONGODB失败，尝试备用数据源获取股票信息...
2026-06-30 19:26:47,568 | dataflows            | ERROR    | data_source_manager:_try_fallback_stock_info:1651 | ❌ 备用数据源ChinaDataSource.TUSHARE失败: 'DataSourceManager' object has no attribute '_get_tushare_stock_info'
2026-06-30 19:26:48,081 | dataflows            | ERROR    | data_source_manager:_get_akshare_stock_info:1714 | ❌ [股票信息] AKShare获取失败: 002281, 错误: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2026-06-30 19:26:48,359 | dataflows            | WARNING  | data_source_manager:_try_fallback_stock_info:1648 | ⚠️ [数据来源: ChinaDataSource.AKSHARE] 返回无效信息
2026-06-30 19:27:09,420 | dataflows            | ERROR    | data_source_manager:_get_baostock_stock_info:1731 | ❌ [股票信息] BaoStock登录失败: 网络接收错误。
2026-06-30 19:27:09,422 | dataflows            | WARNING  | data_source_manager:_try_fallback_stock_info:1648 | ⚠️ [数据来源: ChinaDataSource.BAOSTOCK] 返回无效信息
2026-06-30 19:27:09,422 | dataflows            | ERROR    | data_source_manager:_try_fallback_stock_info:1655 | ❌ 所有数据源都无法获取002281的股票信息
2026-06-30 19:27:09,588 | dataflows            | WARNING  | data_source_manager:_get_data_source_priority_order:210 | ⚠️ [数据源优先级] 从数据库读取失败: No module named 'motor'，使用默认顺序
2026-06-30 19:27:10,188 | tradingagents.dataflows.providers.china.akshare | WARNING  | akshare:patched_get:101 | ⚠️ curl_cffi 请求失败，回退到标准 requests: Failed to perform, curl: (56) Connection closed abruptly. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.
2026-06-30 19:27:12,855 | tradingagents.dataflows.providers.china.akshare | ERROR    | akshare:_get_stock_list_cached:417 | ❌ 获取股票列表失败: Excel file format cannot be determined, you must specify an engine manually.
2026-06-30 19:29:11,726 | dataflows            | WARNING  | data_source_manager:_check_available_sources:492 | ⚠️ [数据源配置] 从数据库读取失败: No module named 'motor'，将检查所有已安装的数据源
2026-06-30 19:29:11,762 | agents               | WARNING  | mongodb_cache_adapter:_init_mongodb_connection:41 | ⚠️ MongoDB客户端不可用，回退到传统模式
2026-06-30 19:29:11,764 | dataflows            | WARNING  | data_source_manager:_check_available_sources:505 | ⚠️ MongoDB数据源不可用: 数据库未连接
