2026-06-30 19:26:31,883 | agents               | INFO     | config_manager:_load_env_file:91 | 🔍 [ConfigManager] 加载 .env 文件: D:\Workspace\03 项目\04 重大项目\01 大模型\量化交易\AresStock\tradingagents\.env
2026-06-30 19:26:31,924 | agents               | INFO     | config_manager:_load_env_file:92 | 🔍 [ConfigManager] 加载前 DASHSCOPE_API_KEY: 空
2026-06-30 19:26:31,946 | agents               | INFO     | config_manager:_load_env_file:96 | 🔍 [ConfigManager] 加载后 DASHSCOPE_API_KEY: 有值
2026-06-30 19:26:31,946 | agents               | INFO     | config_manager:_init_mongodb_storage:154 | 🔧 [ConfigManager] 开始初始化 MongoDB 存储...
2026-06-30 19:26:31,948 | agents               | INFO     | config_manager:_init_mongodb_storage:164 | 🔍 [ConfigManager] USE_MONGODB_STORAGE=false (解析为: False)
2026-06-30 19:26:31,950 | agents               | INFO     | config_manager:_init_mongodb_storage:167 | ℹ️ [ConfigManager] MongoDB 存储未启用，将使用 JSON 文件存储
2026-06-30 19:26:45,790 | agents               | INFO     | interface:get_china_stock_info_unified:1646 | 📊 [统一接口] 获取002281基本信息...
2026-06-30 19:26:45,793 | tradingagents.config | INFO     | runtime_settings:use_app_cache_enabled:173 | [runtime_settings] TA_USE_APP_CACHE evaluated -> True (source=env, env=true)
2026-06-30 19:26:45,798 | dataflows            | WARNING  | data_source_manager:_check_available_sources:492 | ⚠️ [数据源配置] 从数据库读取失败: No module named 'motor'，将检查所有已安装的数据源
2026-06-30 19:26:45,803 | tradingagents.config | INFO     | runtime_settings:use_app_cache_enabled:173 | [runtime_settings] TA_USE_APP_CACHE evaluated -> True (source=env, env=true)
2026-06-30 19:26:45,903 | tradingagents.config.database_manager | INFO     | database_manager:_load_env_config:76 | MongoDB启用: False
2026-06-30 19:26:45,903 | tradingagents.config.database_manager | INFO     | database_manager:_load_env_config:77 | Redis启用: False
2026-06-30 19:26:45,903 | tradingagents.config.database_manager | INFO     | database_manager:_detect_databases:161 | 开始检测数据库可用性...
2026-06-30 19:26:45,903 | tradingagents.config.database_manager | INFO     | database_manager:_detect_databases:170 | ❌ MongoDB: MongoDB未启用 (MONGODB_ENABLED=false)
2026-06-30 19:26:45,905 | tradingagents.config.database_manager | INFO     | database_manager:_detect_databases:179 | ❌ Redis: Redis未启用 (REDIS_ENABLED=false)
2026-06-30 19:26:45,907 | tradingagents.config.database_manager | INFO     | database_manager:_update_config_based_on_detection:194 | 主要缓存后端: file
2026-06-30 19:26:45,907 | tradingagents.config.database_manager | INFO     | database_manager:__init__:34 | 数据库管理器初始化完成 - MongoDB: False, Redis: False
2026-06-30 19:26:45,907 | agents               | WARNING  | mongodb_cache_adapter:_init_mongodb_connection:41 | ⚠️ MongoDB客户端不可用，回退到传统模式
2026-06-30 19:26:45,908 | agents               | INFO     | mongodb_cache_adapter:__init__:28 | 🔄 MongoDB缓存适配器已启用 - 优先使用MongoDB数据
2026-06-30 19:26:45,908 | dataflows            | WARNING  | data_source_manager:_check_available_sources:505 | ⚠️ MongoDB数据源不可用: 数据库未连接
2026-06-30 19:26:45,909 | dataflows            | WARNING  | data_source_manager:_get_datasource_configs_from_db:584 | ⚠️ 从数据库读取数据源配置失败: No module named 'motor'
2026-06-30 19:26:45,910 | dataflows            | INFO     | data_source_manager:_check_available_sources:523 | ✅ Tushare数据源可用且已启用 (API Key来源: 环境变量)
2026-06-30 19:26:47,510 | dataflows            | INFO     | data_source_manager:_check_available_sources:536 | ✅ AKShare数据源可用且已启用
2026-06-30 19:26:47,547 | dataflows            | INFO     | data_source_manager:_check_available_sources:547 | ✅ BaoStock数据源可用且已启用
2026-06-30 19:26:47,549 | agents               | INFO     | file_cache:__init__:95 | 📁 缓存管理器初始化完成，缓存目录: D:\Workspace\03 项目\04 重大项目\01 大模型\量化交易\AresStock\tradingagents\tradingagents\dataflows\cache\data_cache
2026-06-30 19:26:47,552 | agents               | INFO     | file_cache:__init__:96 | 🗄️ 数据库缓存管理器初始化完成
2026-06-30 19:26:47,553 | agents               | INFO     | file_cache:__init__:97 |    美股数据: ✅ 已配置
2026-06-30 19:26:47,554 | agents               | INFO     | file_cache:__init__:98 |    A股数据: ✅ 已配置
2026-06-30 19:26:47,555 | tradingagents.dataflows.cache.adaptive | INFO     | adaptive:__init__:43 | 自适应缓存系统初始化 - 主要后端: file
2026-06-30 19:26:47,555 | dataflows            | INFO     | integrated:__init__:48 | ✅ 自适应缓存系统已启用
2026-06-30 19:26:47,555 | dataflows            | INFO     | integrated:_log_cache_status:65 | 📊 缓存配置:
2026-06-30 19:26:47,557 | dataflows            | INFO     | integrated:_log_cache_status:66 |   主要后端: file
2026-06-30 19:26:47,557 | dataflows            | INFO     | integrated:_log_cache_status:67 |   MongoDB: ❌ 不可用
2026-06-30 19:26:47,557 | dataflows            | INFO     | integrated:_log_cache_status:68 |   Redis: ❌ 不可用
2026-06-30 19:26:47,558 | dataflows            | INFO     | integrated:_log_cache_status:69 |   降级支持: ✅ 启用
2026-06-30 19:26:47,559 | agents               | INFO     | __init__:get_cache:103 | ✅ 使用集成缓存系统（支持 MongoDB/Redis/File 自动选择）
2026-06-30 19:26:47,559 | dataflows            | INFO     | data_source_manager:__init__:125 | ✅ 统一缓存管理器已启用
2026-06-30 19:26:47,560 | dataflows            | INFO     | data_source_manager:__init__:129 | 📊 数据源管理器初始化完成
2026-06-30 19:26:47,561 | dataflows            | INFO     | data_source_manager:__init__:130 |    MongoDB缓存: ✅ 已启用
2026-06-30 19:26:47,562 | dataflows            | INFO     | data_source_manager:__init__:131 |    统一缓存: ✅ 已启用
2026-06-30 19:26:47,563 | dataflows            | INFO     | data_source_manager:__init__:132 |    默认数据源: DataSourceCode.MONGODB
2026-06-30 19:26:47,563 | dataflows            | INFO     | data_source_manager:__init__:133 |    可用数据源: [<DataSourceCode.TUSHARE: 'tushare'>, <DataSourceCode.AKSHARE: 'akshare'>, <DataSourceCode.BAOSTOCK: 'baostock'>]
2026-06-30 19:26:47,563 | dataflows            | INFO     | data_source_manager:get_stock_info:1439 | 📊 [数据来源: DataSourceCode.MONGODB] 开始获取股票信息: 002281
2026-06-30 19:26:47,564 | tradingagents.config | INFO     | runtime_settings:use_app_cache_enabled:173 | [runtime_settings] TA_USE_APP_CACHE evaluated -> True (source=env, env=true)
2026-06-30 19:26:47,564 | dataflows            | INFO     | data_source_manager:get_stock_info:1445 | 🔧 [配置检查] use_app_cache_enabled() 返回值: True
2026-06-30 19:26:47,565 | dataflows            | INFO     | data_source_manager:get_stock_info:1450 | 🔧 [配置] ta_use_app_cache=True, current_source=DataSourceCode.MONGODB
2026-06-30 19:26:47,565 | dataflows            | WARNING  | data_source_manager:get_stock_info:1537 | ⚠️ [数据来源: DataSourceCode.MONGODB] 不支持股票信息获取，尝试降级: 002281
2026-06-30 19:26:47,566 | dataflows            | ERROR    | data_source_manager:_try_fallback_stock_info:1607 | 🔄 DataSourceCode.MONGODB失败，尝试备用数据源获取股票信息...
2026-06-30 19:26:47,567 | dataflows            | INFO     | data_source_manager:_try_fallback_stock_info:1620 | 🔄 尝试备用数据源获取股票信息: ChinaDataSource.TUSHARE
2026-06-30 19:26:47,568 | dataflows            | ERROR    | data_source_manager:_try_fallback_stock_info:1651 | ❌ 备用数据源ChinaDataSource.TUSHARE失败: 'DataSourceManager' object has no attribute '_get_tushare_stock_info'
2026-06-30 19:26:47,574 | dataflows            | INFO     | data_source_manager:_try_fallback_stock_info:1620 | 🔄 尝试备用数据源获取股票信息: ChinaDataSource.AKSHARE
